address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
,,,,,,,,,,,,,,,
68 Haynes Avenue,Toronto,York University Heights,4+4,6,SEMI-DETACHED,2-Storey,68,2002.4007,6-15 years,1500-2000 sqft,1199800.0,6417.0,4133,679000.0,2015
59 Lockerbie Avenue,Toronto,Humberlea-pelmo Park W4,2+2,2,Detached,Bungalow,43,6250.0,No Data,No Data,1000000.0,5302.0,5561,387500.0,2011
301 - 188 Bonis Avenue,Toronto,Tam O'shanter-sullivan,3,3,Condo Townhouse,3-Storey,43,No Data,N,1800-1999 sqft,888000.0,4822.0,2920,485000.0,2017
3006 - 33 Charles Street E,Toronto,Church-yonge Corridor,2+1,2,Condo Apt,Apartment,43,No Data,Restrict,1200-1399 sqft,1499000.0,8087.0,5890,1328000.0,2019
60 Timberbank Boulevard,Toronto,L'amoreaux,3,4,Condo Townhouse,2-Storey,43,No Data,Restrict,1200-1399 sqft,880000.0,4776.0,2439,910000.0,2022
99 Highview Avenue,Toronto,Birchcliffe-cliffside,4+2,5,Detached,2 1/2 Storey,46,3000.0,No Data,No Data,1620000.0,8762.0,2439,649000.0,2020
44 Devondale Avenue,Toronto,Newtonbrook West,4+1,6,Detached,2-Storey,42,7520.08,0-5 years,3500-5000 sqft,2790000.0,15292.0,9659,2999000.0,2022
301 - 207 Galloway Road,Toronto,West Hill,2,1,Condo Apt,Apartment,42,No Data,Restrict,900-999 sqft,459900.0,2359.0,922,495000.0,2022
8 Palace Arch Drive,Toronto,Princess-rosethorn,4+2,7,Detached,2-Storey,21,12269.2366,No Data,5000+ sqft,5898888.0,32643.0,18000,495000.0,2022
49 - 10 Rodda Boulevard,Toronto,West Hill,3+1,3,Condo Townhouse,3-Storey,21,No Data,Restrict,1600-1799 sqft,650000.0,3452.0,1300,600000.0,2021
90 - 65 Turntable Crescent,Toronto,Dovercourt-wallace Emerson-junction,3,2,Condo Townhouse,Stacked Townhse,21,No Data,Restrict,1000-1199 sqft,719900.0,3855.0,2530,719900.0,2022
401 - 785 Browns Line,Toronto,Alderwood,1,1,Co-Op Apt,Apartment,21,No Data,Restrict,600-699 sqft,369900.0,1841.0,898,719900.0,2022
Ph2 - 97 Lawton Boulevard,Toronto,Yonge-st. Clair,2,2,Condo Apt,Apartment,21,No Data,Restrict,900-999 sqft,985000.0,5380.0,3538,719900.0,2022
116 - 624 Fleet Street,Toronto,Niagara,1,1,Condo Apt,Other,21,11-15 years,Restrict,700-799 sqft,899000.0,4885.0,2743,719900.0,2022
64 Struthers Street,Toronto,Mimico,3,4,Detached,2-Storey,21,2625.0,No Data,No Data,1599000.0,8645.0,5928,1699900.0,2021
41 Hathor Crescent,Toronto,Humber Summit,3,5,Detached,Sidesplit 5,38,6436.499999999999,No Data,No Data,1188800.0,6356.0,4124,1699900.0,2021
2004 - 3 Rowntree Road,Toronto,Mount Olive-silverstone-jamestown,2+1,2,Condo Apt,Apartment,38,No Data,Restrict,1200-1399 sqft,599900.0,3164.0,1245,1699900.0,2021
318 - 665 Kennedy Road,Toronto,Kennedy Park,3,2,Condo Townhouse,Stacked Townhse,38,No Data,Restrict,1000-1199 sqft,515000.0,2676.0,948,1699900.0,2021
431 - 20 Minowan Miikan Lane,Toronto,Little Portugal,2,2,Condo Apt,Apartment,38,No Data,Restrict,700-799 sqft,688888.0,3676.0,3190,675000.0,2020
703 - 33 Mill Street,Toronto,Waterfront Communities C8,1+1,1,Condo Apt,Apartment,38,No Data,Restrict,600-699 sqft,649900.0,3452.0,2553,619000.0,2021
413 - 58 Orchard View Boulevard,Toronto,Yonge-eglinton,1,1,Condo Apt,Apartment,38,6-10 years,Restrict,0-499 sqft,539900.0,2819.0,1997,1550.0,2021
39 West Oak Crescent,Toronto,Humberlea-pelmo Park W4,3+1,4,Att/Row/Twnhouse,2-Storey,59,3000.271,16-30 years,1500-2000 sqft,899999.0,4891.0,3393,729000.0,2018
343 Brookdale Avenue,Toronto,Lawrence Park North,4+1,5,Detached,2-Storey,59,2750.0,0-5 years,No Data,3588000.0,19746.0,10977,1250000.0,2019
263 Wellington Street West,Toronto,Lawrence Park North,1,1,Apartments,No Data,98,No Data,No Data,772 sqft,659000.0,3504.0,10977,649900.0,2021
107 - 116 George Street,Toronto,Moss Park,2+1,2,Condo Townhouse,2-Storey,98,No Data,Restrict,1400-1599 sqft,1169900.0,6250.0,4727,649900.0,2021
Ph 5 - 18 Kenaston Gardens,Toronto,Bayview Village,1,1,Condo Apt,Apartment,98,No Data,Restrict,500-599 sqft,649000.0,3447.0,1788,339800.0,2013
202 - 840 St. Clair Avenue W,Toronto,Oakwood Village,2,2,Condo Apt,Apartment,98,New,Restrict,700-799 sqft,879900.0,4775.0,1788,339800.0,2013
1811 - 50 Forest Manor Road,Toronto,Henry Farm,1+1,2,Condo Apt,Apartment,98,0-5 years,Restrict,500-599 sqft,699000.0,3734.0,2142,339800.0,2013
7 Brazil Gate,Toronto,Humber Summit,3,2,SEMI-DETACHED,Bungalow-Raised,51,3463.8,No Data,No Data,899999.0,4891.0,2304,998000.0,2022
195 Connaught Avenue,Toronto,Newtonbrook West,4+2,7,Detached,2-Storey,30,6600.0,No Data,3500-5000 sqft,2998000.0,16453.0,15128,3098800.0,2017
103 - 65 Spring Garden Avenue,Toronto,Willowdale East,2+1,2,Condo Apt,Apartment,30,No Data,N,1400-1599 sqft,899000.0,4885.0,3570,3098800.0,2017
802 - 65 St Mary Street,Toronto,Bay Street Corridor,2,2,Condo Apt,Apartment,30,No Data,Restrict,800-899 sqft,1309900.0,7032.0,4436,2600.0,2020
203 - 1111 Steeles Avenue W,Toronto,Westminster-branson,2,2,Condo Apt,Apartment,30,No Data,Restrict,800-899 sqft,458800.0,2352.0,1574,2600.0,2020
905 - 400 Wellington Street,Toronto,Waterfront Communities C1,2,2,Condo Apt,Apartment,30,No Data,Restrict,900-999 sqft,1059900.0,5636.0,3836,628000.0,2016
